Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
MDG,1970-01-01,1970-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1970,1970,SLC,0.3607946266,X
MDG,1971-01-01,1971-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1971,1971,SLC,0.3734224386,X
MDG,1972-01-01,1972-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1972,1972,SLC,0.3931213754,X
MDG,1973-01-01,1973-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1973,1973,SLC,0.4378101264,X
MDG,1974-01-01,1974-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1974,1974,SLC,0.5291276035,X
MDG,1975-01-01,1975-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1975,1975,SLC,0.5539473055,X
MDG,1976-01-01,1976-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1976,1976,SLC,0.6089403498,X
MDG,1977-01-01,1977-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1977,1977,SLC,0.6612684602,X
MDG,1978-01-01,1978-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1978,1978,SLC,0.7059214528,X
MDG,1979-01-01,1979-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1979,1979,SLC,0.7861914402,X
MDG,1980-01-01,1980-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1980,1980,SLC,0.9040179203,X
MDG,1981-01-01,1981-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1981,1981,SLC,1.1318765822,X
MDG,1982-01-01,1982-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1982,1982,SLC,1.4555995447,X
MDG,1983-01-01,1983-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1983,1983,SLC,1.7700535098,X
MDG,1984-01-01,1984-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1984,1984,SLC,1.9513240714,X
MDG,1985-01-01,1985-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1985,1985,SLC,2.1887008770,X
MDG,1986-01-01,1986-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1986,1986,SLC,3.0452963713,X
MDG,1987-01-01,1987-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1987,1987,SLC,3.7466929913,X
MDG,1988-01-01,1988-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1988,1988,SLC,4.5395207445,X
MDG,1989-01-01,1989-12-31,129,'450,Madagascar,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1989,1989,SLC,5.0830939004,X
