Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
MDG,1991-01-01,1991-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,0.440000,I
MDG,1992-01-01,1992-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,0.380000,I
MDG,1993-01-01,1993-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,0.440000,I
MDG,1994-01-01,1994-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,0.890000,I
MDG,1995-01-01,1995-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,0.910000,I
MDG,1996-01-01,1996-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,0.940000,I
MDG,1997-01-01,1997-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,0.760000,I
MDG,1998-01-01,1998-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,4.440000,I
MDG,1999-01-01,1999-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,11.350000,I
MDG,2000-01-01,2000-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,12.280000,I
MDG,2001-01-01,2001-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,9.450000,I
MDG,2002-01-01,2002-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,13.580000,I
MDG,2003-01-01,2003-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,14.420000,I
MDG,2004-01-01,2004-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,10.910000,I
MDG,2005-01-01,2005-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,12.050000,I
MDG,2006-01-01,2006-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,63.180000,I
MDG,2007-01-01,2007-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,78.950000,I
MDG,2008-01-01,2008-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,90.990000,I
MDG,2009-01-01,2009-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,131.380000,I
MDG,2010-01-01,2010-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,92.950000,I
MDG,2011-01-01,2011-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,104.600000,I
MDG,2012-01-01,2012-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,103.280000,I
MDG,2013-01-01,2013-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,110.560000,I
MDG,2014-01-01,2014-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,107.650000,I
MDG,2015-01-01,2015-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,96.390000,I
MDG,2016-01-01,2016-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,95.960000,I
MDG,2017-01-01,2017-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,111.850000,I
MDG,2018-01-01,2018-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,112.220000,I
MDG,2019-01-01,2019-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,153.700000,I
MDG,2020-01-01,2020-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2020,2020,7021,Annual value,,154.540000,I
MDG,2021-01-01,2021-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2021,2021,7021,Annual value,,146.090000,I
MDG,2022-01-01,2022-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2022,2022,7021,Annual value,,126.380000,I
MDG,2023-01-01,2023-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2023,2023,7021,Annual value,,119.410000,I
MDG,2024-01-01,2024-12-31,129,'450,Madagascar,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5539,Producer Price Index (2014-2016 = 100),2024,2024,7021,Annual value,,109.760000,I
MDG,2000-01-01,2000-12-31,129,'450,Madagascar,515,'01341,Apples,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,420000.000000,A
MDG,2001-01-01,2001-12-31,129,'450,Madagascar,515,'01341,Apples,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,515000.000000,A
MDG,2002-01-01,2002-12-31,129,'450,Madagascar,515,'01341,Apples,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,385000.000000,A
MDG,2000-01-01,2000-12-31,129,'450,Madagascar,515,'01341,Apples,5531,Producer Price (SLC/tonne),2000,2000,7021,Annual value,SLC,84000.000000,A
MDG,2001-01-01,2001-12-31,129,'450,Madagascar,515,'01341,Apples,5531,Producer Price (SLC/tonne),2001,2001,7021,Annual value,SLC,103000.000000,A
MDG,2002-01-01,2002-12-31,129,'450,Madagascar,515,'01341,Apples,5531,Producer Price (SLC/tonne),2002,2002,7021,Annual value,SLC,77000.000000,A
MDG,2000-01-01,2000-12-31,129,'450,Madagascar,515,'01341,Apples,5532,Producer Price (USD/tonne),2000,2000,7021,Annual value,USD,62.100000,A
MDG,2001-01-01,2001-12-31,129,'450,Madagascar,515,'01341,Apples,5532,Producer Price (USD/tonne),2001,2001,7021,Annual value,USD,78.200000,A
MDG,2002-01-01,2002-12-31,129,'450,Madagascar,515,'01341,Apples,5532,Producer Price (USD/tonne),2002,2002,7021,Annual value,USD,56.400000,A
MDG,1991-01-01,1991-12-31,129,'450,Madagascar,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,12.200000,I
MDG,1992-01-01,1992-12-31,129,'450,Madagascar,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,13.130000,I
MDG,1993-01-01,1993-12-31,129,'450,Madagascar,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,14.190000,I
MDG,1994-01-01,1994-12-31,129,'450,Madagascar,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,10.510000,I
MDG,1995-01-01,1995-12-31,129,'450,Madagascar,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,12.150000,I
MDG,1996-01-01,1996-12-31,129,'450,Madagascar,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,15.300000,I
MDG,1997-01-01,1997-12-31,129,'450,Madagascar,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,15.360000,I
MDG,1998-01-01,1998-12-31,129,'450,Madagascar,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,15.280000,I
